tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,lmi_flag,growth_is_estimated
17143000300,-1.1475,-1.484,0.356,0.046,-1.408,-0.6355,Peoria County,True,False
17193958100,-0.8485,-0.711333,-0.2376,-1.0605,-0.44,-0.6359,White County,False,True
17019000200,-0.3055,-1.324667,-0.1792,-0.4425,-1.2145,-0.636,Champaign County,True,True
55079004400,-0.923,-1.334667,-0.8024,0.652,-0.9045,-0.636,Milwaukee County,True,False
17017960400,-0.4175,-0.621333,0.3136,-1.637,-1.0595,-0.6376,Cass County,True,False
55011960400,-0.0635,-0.203333,0.266,-2.638,-0.6725,-0.6388,Buffalo County,False,False
17031030603,-1.2915,-0.934,-0.4464,0.725,-1.3695,-0.6389,Cook County,True,False
17031826600,-2.853,-1.093333,-0.4464,1.0895,-0.053,-0.6389,Cook County,True,False
17163502700,-3.6695,-0.725333,1.2988,0.92,-1.524,-0.6389,St. Clair County,True,False
17047956900,-0.4635,-0.511333,-0.1756,-0.9005,-1.234,-0.6402,Edwards County,False,False
55043960600,0.355,-0.170667,0.3472,-3.309,-0.5565,-0.6409,Grant County,False,False
55079170500,-1.612,-0.516,-0.8024,0.41,-0.6145,-0.6413,Milwaukee County,True,False
17077011702,0.0695,-1.396667,0.0484,-0.843,-1.4465,-0.6413,Jackson County,False,True
55121100400,-0.499,-0.362,-0.8588,-1.078,-0.2855,-0.6415,Trempealeau County,False,False
17105960900,-0.452,-0.042,0.0684,-2.2745,-0.537,-0.642,Livingston County,False,False
17201001000,-2.4705,-1.546667,0.5936,0.7495,-1.079,-0.6437,Winnebago County,True,False
55079006500,-0.74,-1.49,-0.8024,0.6375,-1.0015,-0.6449,Milwaukee County,True,False
17067954000,-0.538,-0.852667,0.7924,-1.904,-1.137,-0.6456,Hancock County,False,False
55071005300,-0.261,-0.768667,-2.2508,0.9205,-0.498,-0.6458,Manitowoc County,False,False
17119400200,-1.9855,-1.102667,-0.174,0.4135,-0.6145,-0.6463,Madison County,True,False
17031816401,-1.852,0.202667,-0.4464,0.086,-1.0595,-0.6464,Cook County,True,False
17045070200,-0.631,-0.554,0.1532,-1.202,-1.1755,-0.6466,Edgar County,False,False
17119402200,-0.67,-0.561333,-0.174,-1.641,-0.2855,-0.6469,Madison County,True,False
55097960600,0.4105,-0.161333,-3.0884,-0.153,0.489,-0.6471,Portage County,False,False
17037002100,0.457,-0.41,-0.7556,-1.7115,-0.7305,-0.6474,DeKalb County,True,False
55079008900,-0.332,-1.722667,-0.8024,0.6935,-1.311,-0.6489,Milwaukee County,True,False
17037001900,-0.997,0.396,-0.7556,-0.9345,-0.6725,-0.6503,DeKalb County,False,False
