OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
2079015503930315|17019005602|Census Tract 56.02|18915110|74849|G5020|S|20740144594732|17019005600|Census Tract 56|20837353|68713|G5020|S|17657236|68713
2079015503930315|17019005602|Census Tract 56.02|18915110|74849|G5020|S|207403716801518|17019005702|Census Tract 57.02|17311385|25524|G5020|S|1257874|6136
207903716801519|17019005701|Census Tract 57.01|2610806|0|G5020|S|207403716801519|17019005701|Census Tract 57.01|2610806|0|G5020|S|2610806|0
207903716801518|17019005702|Census Tract 57.02|16319609|19388|G5020|S|20740144594732|17019005600|Census Tract 56|20837353|68713|G5020|S|266098|0
207903716801518|17019005702|Census Tract 57.02|16319609|19388|G5020|S|207403716801518|17019005702|Census Tract 57.02|17311385|25524|G5020|S|16053511|19388
20790144596244|17019005800|Census Tract 58|1448746|1529|G5020|S|20740144596244|17019005800|Census Tract 58|1437376|1529|G5020|S|1437376|1529
20790144596244|17019005800|Census Tract 58|1448746|1529|G5020|S|207403716801545|17019011100|Census Tract 111|1082930|6653|G5020|S|11370|0
2079015503930384|17019005901|Census Tract 59.01|349289|0|G5020|S|20740144597083|17019005900|Census Tract 59|1303266|4848|G5020|S|349289|0
2079015503930329|17019005902|Census Tract 59.02|962402|4892|G5020|S|207403716801467|17019000301|Census Tract 3.01|456544|634|G5020|S|4114|44
2079015503930329|17019005902|Census Tract 59.02|962402|4892|G5020|S|207403716801511|17019000401|Census Tract 4.01|254569|0|G5020|S|4377|0
2079015503930329|17019005902|Census Tract 59.02|962402|4892|G5020|S|20740144597083|17019005900|Census Tract 59|1303266|4848|G5020|S|953911|4848
20790144598004|17019006000|Census Tract 60|11331173|8405|G5020|S|20740144584082|17019001400|Census Tract 14|5696228|47310|G5020|S|125582|0
20790144598004|17019006000|Census Tract 60|11331173|8405|G5020|S|20740144598004|17019006000|Census Tract 60|11205591|8405|G5020|S|11205591|8405
20790144598717|17019010100|Census Tract 101|15206909|6463|G5020|S|20740144598717|17019010100|Census Tract 101|15164684|6463|G5020|S|15164684|6463
20790144598717|17019010100|Census Tract 101|15206909|6463|G5020|S|207403716801553|17019010204|Census Tract 102.04|10772536|35587|G5020|S|42225|0
207903716801553|17019010204|Census Tract 102.04|10651394|35468|G5020|S|207403716801553|17019010204|Census Tract 102.04|10772536|35587|G5020|S|10533154|35468
207903716801553|17019010204|Census Tract 102.04|10651394|35468|G5020|S|20740144600046|17019010300|Census Tract 103|8461566|189145|G5020|S|118240|0
20790144600046|17019010300|Census Tract 103|8366519|189145|G5020|S|207403716801553|17019010204|Census Tract 102.04|10772536|35587|G5020|S|23193|0
20790144600046|17019010300|Census Tract 103|8366519|189145|G5020|S|20740144600046|17019010300|Census Tract 103|8461566|189145|G5020|S|8343326|189145
20790144592118|17019010400|Census Tract 104|465467504|536184|G5020|S|207403716801553|17019010204|Census Tract 102.04|10772536|35587|G5020|S|173964|119
20790144592118|17019010400|Census Tract 104|465467504|536184|G5020|S|20740144592118|17019010400|Census Tract 104|465262204|533755|G5020|S|465262204|533755
