CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Sweetwater,0,465168,11173,TX,The Texas Bank & Trust Company,11173,33658
Bandera,0,283250,11174,TX,"Norwest Bank Texas, Bandera",11174,73120
Abernathy,1,305059,11175,TX,The First State Bank,11175,123813
Grand Prairie,0,331759,11176,TX,MBank Grand Prairie,11176,162890
Pecos,1,908861,11178,TX,"Transpecos Banks, SSB",11178,1038922
Arlington,1,274856,1118,SD,"Citizens State Bank, of Arlington",1118,155097
Tomball,0,477460,11180,TX,First RepublicBank Tomball,11180,96701
Brownsboro,1,229454,11181,TX,First State Bank of Brownsboro,11181,139652
Giddings,0,398659,11182,TX,The Citizens State Bank,11182,131389
Hedley,0,54254,11183,TX,Security State Bank,11183,4738
Sabinal,0,747369,11185,TX,Sabinal Bank,11185,24822
Loa,0,992477,11187,UT,State Bank of Wayne,11187,6113
St. George,0,253570,11192,UT,Bank of St. George,11192,
Lehi,0,746072,11193,UT,State Bank of Lehi,11193,
Milford,0,670579,11194,UT,Milford State Bank,11194,
Chatham,0,214021,11196,VA,Fidelity American Bank,11196,
Gloucester,0,134222,11198,VA,United Virginia Bank of Gloucester,11198,
Kadoka,0,69753,1120,SD,Badlands State Bank,1120,
Richmond,0,34425,11200,VA,Virginia Commonwealth Bank,11200,1219037
Wakefield,0,924227,11201,VA,The Bank of Sussex and Surry,11201,67063
Colonial Beach,0,639428,11202,VA,First Virginia Bank - Northern Neck,11202,74415
Onancock,0,653125,11205,VA,Eastern Shore Citizens Bank,11205,
Everett,0,89779,11206,WA,Olympic Bank,11206,368200
Fairfield,0,99974,11207,WA,Bank of Fairfield,11207,148134
Ione,0,542975,11208,WA,Ione State Bank,11208,
Buffalo,0,81755,1121,SD,First State Bank,1121,18409
Silverdale,0,977072,11216,WA,Silverdale State Bank,11216,31484
Eldorado,0,190844,11219,WI,First Wisconsin Bank of Eldorado,11219,12419
Burke,1,80150,1122,SD,First Fidelity Bank,1122,702151
Kimberly,0,387747,11220,WI,Kimberly State Bank,11220,
Nichols,0,236443,11221,WI,Neighborhood State Bank,11221,19112
Watertown,0,349044,11222,WI,M&I Bank South Central,11222,278616
Clyman,0,583549,11224,WI,Farmers State Bank,11224,2364
Milton,1,742542,11225,WI,First Community Bank,11225,162747
Silver Lake,0,174246,11226,WI,First Bank Southeast of Silver Lake,11226,
Waupun,0,291844,11227,WI,"Norwest Bank Wisconsin Waupun, National Association",11227,49394
Whitewater,1,831642,11228,WI,First Citizens State Bank,11228,511423
Wonewoc,0,835846,11229,WI,State Bank of Wonewoc,11229,28117
Faith,0,287650,1123,SD,Farmers State Bank,1123,43682
Milton,1,426945,11232,WI,Bank of Milton,11232,222207
Cedarburg,0,119247,11233,WI,First Wisconsin Bank of Cedarburg,11233,95366
Bonduel,1,35646,11235,WI,Bonduel State Bank,11235,130666
Horicon,1,528849,11236,WI,Horicon Bank,11236,1675596
Menomonee Falls,0,740445,11237,WI,Associated Bank Menomonee Falls,11237,465224
Oregon,0,39448,11238,WI,Valley Bank of Oregon,11238,47593
Kansas City,0,1011151,11239,KS,The Twin-City State Bank,11239,91820
Flandreau,0,406255,1124,SD,Farmers State Bank,1124,81685
Conway,1,456045,11241,AR,Centennial Bank,11241,23028965
Mcgehee,1,897648,11242,AR,Producers Bank & Trust,11242,205380
Salem,1,931047,11243,AR,Bank of Salem,11243,267419
Rogers,0,947543,11244,AR,Southern Bancorp Bank of Trumann,11244,113066
Brinkley,0,870847,11245,AR,Bank of Brinkley,11245,140639
Springdale,0,913847,11249,AR,Springdale Bank & Trust,11249,307832
Freeman,1,289757,1125,SD,Merchants State Bank,1125,217586
Walnut Ridge,0,792042,11251,AR,The Arkansas Bank,11251,63763
Calico Rock,1,379649,11252,AR,The First National Bank of Izard County,11252,235872
Camden,0,686646,11253,AR,"Merchants and Planters Bank, National Association",11253,96342
Eudora,0,243647,11254,AR,The Eudora Bank,11254,30501
Lincoln,0,54740,11255,AR,Bank of Lincoln,11255,76666
Rogers,0,3284780,11256,AR,Pinnacle Bank,11256,74855
Jonesboro,0,666947,11257,AR,First Community Bank,11257,156882
Gunnison,1,502559,11259,CO,The Gunnison Bank and Trust Company,11259,247341
Huron,0,347750,1126,SD,Farmers and Merchants Bank,1126,156783
Manzanola,0,460752,11260,CO,"J. N. Beaty and Company, Bankers",11260,4993
Mcclave,1,399357,11261,CO,McClave State Bank,11261,79099
Steamboat Springs,0,213855,11262,CO,"Norwest Bank Steamboat Springs, National Association",11262,118018
Sterling,0,595850,11263,CO,"Norwest Bank Sterling, National Association",11263,81328
Walsh,0,354954,11264,CO,The Colorado State Bank of Walsh,11264,43990
Madison,0,301752,1127,SD,Security Bank,1127,
Bridgeport,0,354105,11270,CT,City Trust Company,11270,
New Britain,0,349503,11271,CT,New Britain Bank and Trust Company,11271,
Norwalk,0,632102,11272,CT,The Merchants Bank and Trust Company,11272,269867
Laurel,0,41517,11276,DE,The Sussex Trust Company,11276,396005
Milford,0,56418,11277,DE,Milford Trust Company,11277,
Miller,0,414353,1128,SD,Hand County State Bank,1128,49045
Wilmington,0,551810,11281,DE,Delaware Trust Company,11281,1389696
Wilmington,0,552312,11282,DE,Commercial Trust Company,11282,
Blountstown,0,146337,11284,FL,NCNB National Bank of Florida,11284,39025
